,count,mean,std,min,25%,50%,75%,max
diabetes_012,2.0,0.5,0.7071067811865476,0.0,0.25,0.5,0.75,1.0
highbp,2.0,0.5,0.7071067811865476,0.0,0.25,0.5,0.75,1.0
highchol,2.0,0.5,0.7071067811865476,0.0,0.25,0.5,0.75,1.0
cholcheck,2.0,0.5,0.7071067811865476,0.0,0.25,0.5,0.75,1.0
bmi,2.0,25.0,7.0710678118654755,20.0,22.5,25.0,27.5,30.0
smoker,2.0,0.5,0.7071067811865476,0.0,0.25,0.5,0.75,1.0
stroke,2.0,0.5,0.7071067811865476,0.0,0.25,0.5,0.75,1.0
heartdiseaseorattack,2.0,0.5,0.7071067811865476,0.0,0.25,0.5,0.75,1.0
physactivity,2.0,0.5,0.7071067811865476,0.0,0.25,0.5,0.75,1.0
fruits,2.0,0.5,0.7071067811865476,0.0,0.25,0.5,0.75,1.0
veggies,2.0,0.5,0.7071067811865476,0.0,0.25,0.5,0.75,1.0
hvyalcoholconsump,2.0,0.5,0.7071067811865476,0.0,0.25,0.5,0.75,1.0
anyhealthcare,2.0,0.5,0.7071067811865476,0.0,0.25,0.5,0.75,1.0
nodocbccost,2.0,0.5,0.7071067811865476,0.0,0.25,0.5,0.75,1.0
genhlth,2.0,0.5,0.7071067811865476,0.0,0.25,0.5,0.75,1.0
menthlth,2.0,0.5,0.7071067811865476,0.0,0.25,0.5,0.75,1.0
physhlth,2.0,0.5,0.7071067811865476,0.0,0.25,0.5,0.75,1.0
diffwalk,2.0,0.5,0.7071067811865476,0.0,0.25,0.5,0.75,1.0
sex,2.0,0.5,0.7071067811865476,0.0,0.25,0.5,0.75,1.0
age,2.0,0.5,0.7071067811865476,0.0,0.25,0.5,0.75,1.0
education,2.0,0.5,0.7071067811865476,0.0,0.25,0.5,0.75,1.0
income,2.0,0.5,0.7071067811865476,0.0,0.25,0.5,0.75,1.0
